frequency,Rtings.com,Harman IEM,SenseLab Aizu,SoundGuys.com Studio Curve,SoundGuys.com Headphone Preference Curve,Type 5128 Diffuse Field Response
81.248735,2.60216505,4.650515356,2.125712287,-0.05178851845,2.600253022,-2.117763173
81.837939,2.571262019,4.60551429,2.101748057,-0.05178851845,2.577922645,-2.117763173
82.431415,2.541081991,4.560495322,2.077514867,-0.05178851845,2.553333209,-2.117763173
83.029196,2.509060932,4.514845615,2.052980946,-0.05178851845,2.527016299,-2.117763173
83.631312,2.477987789,4.46899228,2.028192209,-0.05178851845,2.497284575,-2.117763173
84.237794,2.445909281,4.423635734,2.003203663,-0.05178851845,2.459628308,-2.117763173
84.848674,2.413885341,4.378483351,1.978072809,-0.05178851845,2.426350342,-2.117763173
85.463984,2.381870768,4.332970268,1.952859723,-0.05178851845,2.40315653,-2.117763173
86.083756,2.349741534,4.286988985,1.927627134,-0.05178851845,2.381807714,-2.117763173
86.708023,2.316661597,4.239895491,1.902440502,-0.05178851845,2.360069495,-2.117763173
87.336817,2.283646591,4.191840173,1.877367337,-0.05178851845,2.338570849,-2.117763173
87.970171,2.250504547,4.142572311,1.852355107,-0.05178851845,2.317204729,-2.117763173
88.608118,2.216543104,4.092996576,1.82733735,-0.05178851845,2.295787246,-2.117763173
89.250691,2.183464036,4.044347601,1.802315915,-0.05178851845,2.274131698,-2.117763173
89.897924,2.149392541,3.995902758,1.777292676,-0.05178851845,2.252527213,-2.117763173
90.54985,2.115246745,3.947225266,1.752269535,-0.05178851845,2.231269848,-2.117763173
91.206504,2.080286873,3.898802114,1.727248418,-0.05178851845,2.209602855,-2.117763173
91.867921,2.046205069,3.851222895,1.702231281,-0.05178851845,2.187450026,-2.117763173
92.534133,2.01112216,3.803847775,1.677219383,-0.05178851845,2.163700698,-2.117763173
93.205177,1.976106425,3.756246312,1.652133012,-0.05178851845,2.136976903,-2.117763173
93.881088,1.940956033,3.708577757,1.626954236,-0.05178851845,2.109629856,-2.117763173
94.5619,1.904998409,3.661050323,1.601737954,-0.05178851845,2.082773348,-2.117763173
95.247649,1.869913334,3.612656824,1.576541465,-0.05178851845,2.05587958,-2.117763173
95.938371,1.833828843,3.563053471,1.551424532,-0.05178851845,2.028892873,-2.117763173
96.634102,1.797801889,3.51331808,1.526449464,-0.05178851845,2.001963243,-2.117763173
97.334878,1.761774982,3.463230329,1.501681189,-0.05178851845,1.975794809,-2.117763173
98.040736,1.725748014,3.411470697,1.477186252,-0.05178851845,1.947711259,-2.117763173
98.751713,1.689732276,3.358813295,1.45289415,-0.05178851845,1.915700408,-2.117763173
99.467846,1.653574992,3.306229919,1.428733499,-0.05178851845,1.881645564,-2.117763173
100.189173,1.616621513,3.255311771,1.404712417,-0.05178851845,1.845137732,-2.117763173
100.91573,1.580519754,3.207244184,1.380839245,-0.05178851845,1.810146959,-2.117763173
101.647556,1.543567543,3.159652446,1.357122551,-0.05178851845,1.777757327,-2.117763173
102.384689,1.507476471,3.111926581,1.333571135,-0.05178851845,1.750026702,-2.117763173
103.127168,1.470377572,3.064078511,1.310194037,-0.05178851845,1.728073376,-2.117763173
103.875031,1.433486524,3.015947136,1.286998082,-0.05178851845,1.70773222,-2.117763173
104.628318,1.397393879,2.967688045,1.26378588,-0.05178851845,1.687490272,-2.117763173
105.387067,1.360294263,2.919418424,1.24051449,-0.05178851845,1.668261724,-2.117763173
106.151319,1.323405546,2.870551232,1.217310811,-0.05178851845,1.650606926,-2.117763173
106.921112,1.287311268,2.820845856,1.19430727,-0.05178851845,1.63244136,-2.117763173
107.696489,1.250210895,2.770491764,1.171641992,-0.05178851845,1.613442321,-2.117763173
108.477488,1.213324616,2.719485236,1.149458968,-0.05178851845,1.590965227,-2.117763173
109.264151,1.177215839,2.667970042,1.127908238,-0.05178851845,1.560914081,-2.117763173
110.056518,1.140270649,2.615970783,1.107142717,-0.05178851845,1.529173866,-2.117763173
110.854632,1.104160599,2.563547557,1.087009886,-0.05178851845,1.499614232,-2.117763173
111.658534,1.067203896,2.510703148,1.067335284,-0.05178851845,1.466119612,-2.117763173
112.468265,1.031236254,2.457570935,1.04809436,-0.05178851845,1.42253826,-2.117763173
113.283868,0.9952093269,2.404141663,1.029261171,-0.05178851845,1.38092428,-2.117763173
114.105386,0.9591823934,2.350183768,1.010808346,-0.05178851845,1.345651257,-2.117763173
114.932862,0.9231419403,2.295686219,0.9927070325,-0.05178851845,1.315113143,-2.117763173
115.766338,0.8872636301,2.240479919,0.9749268508,-0.05178851845,1.28883969,-2.117763173
116.605859,0.8521497026,2.18510679,0.9574310449,-0.05178851845,1.266655598,-2.117763173
117.451468,0.8161977293,2.131783062,0.9398698944,-0.05178851845,1.248717279,-2.117763173
118.303208,0.7812317836,2.082198155,0.9222055196,-0.05178851845,1.231464862,-2.117763173
119.161126,0.7461915525,2.036137009,0.9046745476,-0.05178851845,1.214282728,-2.117763173
120.025265,0.7113043237,1.990625485,0.8875239712,-0.05178851845,1.194469574,-2.117763173
120.895671,0.6773395047,1.942663769,0.8710114633,-0.05178851845,1.168966716,-2.117763173
121.772388,0.6432997167,1.891986733,0.8554057003,-0.05178851845,1.140717881,-2.117763173
